customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2053-OXEEX,Female,0,No,No,15,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),103.38,1550.7,No
4029-MOBSF,Male,1,No,No,40,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),81.57,3262.8,No
2719-CGJHO,Male,1,No,Yes,60,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.74,2264.4,No
0701-VCGLM,Female,0,Yes,Yes,18,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,100.6,1810.8,No
8386-FGVUP,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),41.45,2404.1,No
6683-OLNGH,Female,1,Yes,Yes,28,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,36.71,1027.88,No
5461-RCGKJ,Male,0,Yes,No,55,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,111.96,6157.8,No
4693-RFPZW,Male,1,No,Yes,17,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),28.15,478.55,Yes
2125-BKDCC,Male,1,No,No,24,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,104.27,2502.48,No
1857-PYNKQ,Male,1,Yes,Yes,4,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),51.97,207.88,No
8908-XRIWN,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.64,6080.44,No
0851-IYYPR,Female,1,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,102.73,5444.69,No
2685-KMPAE,Male,1,Yes,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),63.65,1145.7,No
3738-TJODV,Male,0,Yes,No,58,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),31.48,1825.84,Yes
2674-LGAVS,Female,1,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),110.16,1872.72,Yes
0132-MODIF,Male,1,Yes,No,58,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,60.98,3536.84,No
7935-FJVRO,Female,1,Yes,No,60,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,100.95,6057.0,No
0831-PGAGK,Male,0,No,Yes,63,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),82.58,5202.54,No
5762-YFTYG,Male,0,No,Yes,2,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,67.08,134.16,No
2423-HEHCC,Male,1,Yes,Yes,66,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),88.31,5828.46,No
6417-XPCHW,Male,1,Yes,No,58,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,78.74,4566.92,No
9138-AKQIX,Male,0,Yes,Yes,29,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Mailed check,109.74,3182.46,No
8629-GIAFW,Male,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,97.09,2330.16,No
0955-ZJECE,Female,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,66.2,331.0,Yes
3252-ZLVCC,Female,0,Yes,Yes,30,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,112.98,3389.4,Yes
2779-GTUMR,Male,1,No,Yes,41,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),93.32,3826.12,No
9920-BAFWQ,Female,1,No,No,41,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),42.64,1748.24,No
